City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mana,5.6592,-53.7767,78.31,82,33,10.83,GF,1707706487
1,barrouallie,13.2333,-61.2667,76.78,74,3,10.4,VC,1707706487
2,blackmans bay,-43.0167,147.3167,74.52,62,55,3.0,AU,1707706487
3,stanley,54.868,-1.6985,37.27,93,20,6.91,GB,1707706487
4,mahina,-17.5065,-149.489,80.37,89,75,13.8,PF,1707706487
5,aasiaat,68.7098,-52.8699,-18.36,99,96,6.8,GL,1707706487
6,port-aux-francais,-49.35,70.2167,42.89,72,7,21.63,TF,1707706487
7,colonia,50.9333,6.95,48.06,86,75,9.22,DE,1707706202
8,nuuk,64.1835,-51.7216,7.41,66,39,13.8,GL,1707706440
9,minas de marcona,-15.2119,-75.1103,67.75,80,99,10.78,PE,1707706488
10,hawaiian paradise park,19.5933,-154.9731,78.31,79,75,14.97,US,1707706242
11,adamstown,-25.066,-130.1015,76.06,92,59,21.07,PN,1707706488
12,constantia,44.1833,28.65,54.7,65,100,21.99,RO,1707706446
13,udachny,66.4167,112.4,-23.06,96,100,6.91,RU,1707706488
14,puerto natales,-51.7236,-72.4875,43.0,80,95,12.06,CL,1707706488
15,waitangi,-43.9535,-176.5597,61.83,70,90,4.0,NZ,1707706488
16,carnarvon,-24.8667,113.6333,91.33,44,0,10.56,AU,1707706398
17,bethel,41.3712,-73.414,42.94,72,0,1.99,US,1707706488
18,grytviken,-54.2811,-36.5092,40.71,74,1,7.56,GS,1707706489
19,albany,42.6001,-73.9662,36.01,75,100,4.0,US,1707706489
20,saint-philippe,-21.3585,55.7679,76.59,89,39,9.71,RE,1707706489
21,kuanda,56.3161,116.0806,12.0,90,100,4.34,RU,1707706489
22,beyneu,45.3167,55.2,37.74,79,100,15.43,KZ,1707706489
23,thompson,55.7435,-97.8558,12.36,85,100,0.0,CA,1707706235
24,ishigaki,24.3448,124.1572,66.33,48,75,12.66,JP,1707706489
25,tiksi,71.6872,128.8694,-30.3,100,100,1.52,RU,1707706489
26,felipe carrillo puerto,19.5833,-88.05,74.66,91,2,5.95,MX,1707706489
27,fortuna,40.5982,-124.1573,52.66,93,75,0.0,US,1707706490
28,pacific grove,36.6177,-121.9166,55.02,85,20,4.61,US,1707706490
29,badger,64.8,-147.5333,21.45,81,0,0.0,US,1707706490
30,utrik,11.2278,169.8474,79.12,80,100,23.17,MH,1707706490
31,margaret river,-33.95,115.0667,74.79,51,0,15.99,AU,1707706490
32,whitehorse,60.7161,-135.0538,29.17,43,75,4.61,CA,1707706490
33,invercargill,-46.4,168.35,63.01,70,87,13.0,NZ,1707706490
34,kruisfontein,-34.0033,24.7314,59.88,90,42,4.92,ZA,1707706490
35,ushuaia,-54.8,-68.3,42.46,81,75,26.46,AR,1707706491
36,waingapu,-9.6567,120.2641,87.58,66,70,12.1,ID,1707706491
37,santa ana,33.7456,-117.8678,59.04,62,0,3.44,US,1707706473
38,xiahu,26.6106,119.9483,53.73,65,0,4.88,CN,1707706491
39,puerto deseado,-47.7503,-65.8938,54.12,53,81,31.14,AR,1707706491
40,bilibino,68.0546,166.4372,-33.11,97,53,1.9,RU,1707706491
41,fale old settlement,-9.3852,-171.2468,83.64,78,100,17.11,TK,1707706491
42,bredasdorp,-34.5322,20.0403,63.57,94,2,5.64,ZA,1707706492
43,tabou,4.423,-7.3528,77.97,95,35,3.51,CI,1707706492
44,isafjordur,66.0755,-23.124,32.47,88,100,29.37,IS,1707706492
45,barranca,-10.75,-77.7667,76.73,77,100,7.11,PE,1707706492
46,harper,4.375,-7.7169,80.15,88,39,6.93,LR,1707706493
47,kirensk,57.7853,108.1119,6.96,94,100,7.0,RU,1707706493
48,puerto leguizamo,-0.1934,-74.7819,74.53,97,99,2.1,CO,1707706493
49,smithers,54.7804,-127.1743,23.32,100,100,0.0,CA,1707706493
50,lazaro cardenas,17.9583,-102.2,73.18,80,2,4.9,MX,1707706493
51,hermanus,-34.4187,19.2345,67.8,74,0,10.92,ZA,1707706458
52,svetlogorsk,52.6333,29.7333,35.22,99,100,7.25,BY,1707706493
53,santa ana de yacuma,-13.75,-65.4333,77.32,90,100,5.19,BO,1707706493
54,timmins,48.4669,-81.3331,21.02,86,100,3.44,CA,1707706202
55,yellowknife,62.456,-114.3525,5.56,92,20,10.36,CA,1707706494
56,dalbandin,28.8947,64.4101,61.5,34,100,1.34,PK,1707706494
57,kununurra,-15.7667,128.7333,87.78,70,75,8.05,AU,1707706390
58,oranjemund,-28.55,16.4333,65.57,90,0,2.04,NA,1707706494
59,westport,41.1415,-73.3579,44.58,64,20,4.61,US,1707706494
60,rio verde de mato grosso,-18.9181,-54.8442,74.95,89,100,6.96,BR,1707706338
61,longyearbyen,78.2186,15.6401,15.64,73,40,9.22,SJ,1707706494
62,ancud,-41.8697,-73.8203,54.37,69,9,12.57,CL,1707706495
63,cabo san lucas,22.8909,-109.9124,64.62,73,3,2.39,MX,1707706495
64,port mathurin,-19.6833,63.4167,81.48,85,94,18.19,MU,1707706495
65,palmer,42.1584,-72.3287,37.81,79,20,8.05,US,1707706495
66,vadso,70.0744,29.7487,21.36,79,100,3.44,NO,1707706495
67,iqaluit,63.7506,-68.5145,-16.31,68,20,5.75,CA,1707706495
68,saint-joseph,-21.3667,55.6167,75.58,85,22,10.16,RE,1707706495
69,avarua,-21.2078,-159.775,84.25,61,40,12.66,CK,1707706496
70,dudinka,69.4058,86.1778,-35.32,99,23,4.0,RU,1707706496
71,chonchi,-42.6128,-73.8092,51.12,93,3,2.77,CL,1707706496
72,namdrik,5.5994,168.1028,81.07,83,60,21.18,MH,1707706496
73,fort mcmurray,56.7268,-111.381,31.59,64,0,8.05,CA,1707706496
74,gallup,35.5281,-108.7426,30.04,69,0,5.75,US,1707706496
75,acapulco de juarez,16.8634,-99.8901,76.1,81,21,5.75,MX,1707706258
76,pangai,-19.8,-174.35,86.11,84,75,9.22,TO,1707706496
77,selfoss,63.9331,-20.9971,26.85,84,100,12.75,IS,1707706496
78,hasaki,35.7333,140.8333,48.6,52,100,22.1,JP,1707706497
79,verdal,63.7933,11.4817,30.24,68,100,10.8,NO,1707706497
80,porto novo,6.4965,2.6036,84.02,91,24,5.08,BJ,1707706497
81,ponta delgada,37.7333,-25.6667,65.19,88,40,13.8,PT,1707706497
82,la ronge,55.1001,-105.2842,34.05,60,75,12.66,CA,1707706497
83,kodiak,57.79,-152.4072,35.11,80,100,12.66,US,1707706497
84,bryne,58.7354,5.6477,39.97,80,100,14.97,NO,1707706497
85,talnakh,69.4865,88.3972,-29.16,88,16,3.42,RU,1707706497
86,olonkinbyen,70.9221,-8.7187,27.82,63,100,12.44,SJ,1707706498
87,mount isa,-20.7333,139.5,94.77,38,48,9.22,AU,1707706498
88,ribeira grande,38.5167,-28.7,62.78,87,13,24.0,PT,1707706498
89,kegen,43.0197,79.2203,17.87,81,100,4.18,KZ,1707706498
90,puerto ayora,-0.7393,-90.3518,80.55,94,56,3.0,EC,1707706498
91,severo-yeniseyskiy,60.3725,93.0408,-0.42,95,100,10.0,RU,1707706498
92,san miguel el alto,21.0167,-102.35,60.64,25,98,5.14,MX,1707706498
93,luderitz,-26.6481,15.1594,64.29,87,1,4.25,NA,1707706498
94,crane,31.3974,-102.3501,40.62,62,100,18.75,US,1707706498
95,papatowai,-46.5619,169.4708,62.64,58,88,13.04,NZ,1707706499
96,'alaqahdari dishu,30.4374,63.313,59.43,42,100,8.97,AF,1707706499
97,keflavik,64.0049,-22.5624,30.63,80,0,12.66,IS,1707706499
98,georgetown,5.4112,100.3354,88.95,57,20,16.11,MY,1707706499
99,tejen,37.3834,60.5054,51.26,40,13,7.74,TM,1707706499
100,garachico,28.7781,-17.7646,64.51,68,100,6.91,ES,1707706499
101,la rinconada,37.4873,-5.9826,63.93,93,100,13.8,ES,1707706500
102,freetown,8.484,-13.2299,80.31,83,28,9.22,SL,1707706500
103,kralendijk,12.15,-68.2667,80.58,78,20,14.97,BQ,1707706500
104,mazatlan,23.2167,-106.4167,67.91,65,0,5.01,MX,1707706500
105,port lincoln,-34.7333,135.8667,95.0,22,0,3.02,AU,1707706500
106,brisas de zicatela,15.8369,-97.0419,77.68,78,9,8.16,MX,1707706500
107,new plymouth,-39.0667,174.0833,67.32,52,6,13.85,NZ,1707706500
108,labrador city,52.9463,-66.9114,15.71,85,100,4.61,CA,1707706500
109,san antonio de pale,-1.4014,5.6325,82.74,80,26,4.94,GQ,1707706501
110,fort st. john,56.2499,-120.8529,30.09,59,75,3.44,CA,1707706501
111,edinburgh of the seven seas,-37.0676,-12.3116,63.12,74,43,19.01,SH,1707706501
112,qaqortoq,60.7167,-46.0333,4.89,74,95,5.01,GL,1707706501
113,dededo village,13.5178,144.8391,85.82,61,40,18.41,GU,1707706501
114,iskateley,67.6803,53.1512,-27.98,100,19,4.0,RU,1707706502
115,wailea,19.8858,-155.123,78.03,83,75,14.97,US,1707706502
116,kingston,17.997,-76.7936,79.75,74,20,18.41,JM,1707706460
117,sarangani,5.4033,125.4636,81.21,75,10,24.65,PH,1707706502
118,totskoye,52.5248,52.7623,-13.11,98,16,4.27,RU,1707706502
119,funafuti,-8.5243,179.1942,80.6,94,100,13.8,TV,1707706503
120,dohar,23.5883,90.1469,66.18,40,6,5.28,BD,1707706503
121,hilo,19.7297,-155.09,78.53,80,75,14.97,US,1707706503
122,lebu,-37.6167,-73.65,57.45,89,0,15.57,CL,1707706504
123,petropavlovsk-kamchatsky,53.0452,158.6483,12.79,72,0,11.01,RU,1707706504
124,sorong,-0.8833,131.25,84.65,72,100,15.01,ID,1707706504
125,walvis bay,-22.9575,14.5053,65.35,77,62,0.0,NA,1707706504
126,newport,51.5877,-2.9984,42.55,93,84,7.36,GB,1707706505
127,tauste,41.918,-1.2534,44.46,77,88,2.21,ES,1707706505
128,saldanha,-33.0117,17.9442,66.25,88,0,7.16,ZA,1707706505
129,suva,-18.1416,178.4415,90.88,66,75,9.22,FJ,1707706505
130,punta arenas,-53.15,-70.9167,44.71,70,0,14.97,CL,1707706506
131,hailar,49.2,119.7,21.99,86,77,15.41,CN,1707706506
132,mount gambier,-37.8333,140.7667,91.51,16,0,7.56,AU,1707706506
133,mejit,10.2753,170.8646,79.63,74,43,22.46,MH,1707706506
134,forster,-32.1667,152.5167,81.28,73,78,9.86,AU,1707706507
135,boende,-0.2167,20.8667,76.64,63,83,3.0,CD,1707706507
136,bacalar,18.6667,-88.3833,73.69,94,3,4.5,MX,1707706507
137,port saint john's,-31.6229,29.5448,67.46,89,21,11.25,ZA,1707706507
138,sarandi grande,-33.7333,-56.3333,80.08,64,40,9.24,UY,1707706508
139,mata-utu,-13.2816,-176.1745,82.54,85,97,20.62,WF,1707706508
140,illizi,26.4833,8.4667,58.8,36,4,4.05,DZ,1707706508
141,streator,41.1209,-88.8354,32.58,86,43,4.52,US,1707706509
142,susuman,62.7833,148.1667,-27.02,99,89,1.01,RU,1707706509
143,amga,60.8953,131.9608,-10.35,92,92,3.0,RU,1707706509
144,bilopillya,51.1502,34.3129,35.49,100,100,7.38,UA,1707706509
145,haiku-pauwela,20.9219,-156.3051,78.17,70,40,11.5,US,1707706510
146,awjilah,29.1081,21.2869,65.62,17,100,1.95,LY,1707706510
147,arkhangel'sk,64.5401,40.5433,-10.88,75,75,4.47,RU,1707706510
148,tolanaro,-25.0319,46.9987,80.67,83,40,13.8,MG,1707706510
149,ashtabula,41.7001,-80.7665,31.66,86,100,2.1,US,1707706510
150,tura,25.5198,90.2201,73.2,30,1,0.98,IN,1707706511
151,tazovsky,67.4667,78.7,-26.52,99,98,3.96,RU,1707706511
152,polyarnyy,69.1989,33.4478,-4.49,100,100,6.08,RU,1707706511
153,novyy urgal,51.0736,132.5642,16.83,82,100,4.47,RU,1707706511
154,carbonear,47.7332,-53.2148,36.12,95,100,8.01,CA,1707706511
155,luganville,-15.5333,167.1667,85.06,70,40,7.99,VU,1707706511
156,santa cruz del norte,23.1539,-81.9236,75.47,73,22,9.57,CU,1707706512
157,porto seguro,-16.4497,-39.0647,77.52,94,75,3.44,BR,1707706512
158,afaahiti,-17.75,-149.2833,78.67,90,100,10.89,PF,1707706512
159,montepuez,-13.1256,38.9997,69.98,100,100,0.51,MZ,1707706512
160,morehead city,34.7229,-76.726,62.62,89,100,8.05,US,1707706512
161,hinton,53.4001,-117.5857,29.21,98,100,1.86,CA,1707706513
162,north bondi,-33.8824,151.2769,90.91,58,20,17.27,AU,1707706513
163,holualoa,19.6228,-155.9522,75.04,77,75,6.91,US,1707706513
164,saint-denis,48.9167,2.3333,43.14,93,0,8.05,FR,1707706513
165,ilulissat,69.2167,-51.1,-2.18,65,75,12.66,GL,1707706513
166,kayangel,8.0823,134.7173,81.57,83,98,21.21,PW,1707706513
167,le port,-20.9373,55.2919,80.56,79,7,4.12,RE,1707706514
168,vilyuysk,63.7553,121.6247,-17.0,96,100,11.01,RU,1707706514
169,phan thiet,10.9333,108.1,86.79,36,6,8.25,VN,1707706514
170,ad darbasiyah,37.0728,40.652,43.2,81,0,5.75,SY,1707706514
171,alaghsas,17.0187,8.0168,67.35,11,0,8.39,NE,1707706514
172,rabo de peixe,37.8,-25.5833,63.99,99,40,13.8,PT,1707706514
173,port elizabeth,-33.918,25.5701,66.49,91,0,10.36,ZA,1707706514
174,college,64.8569,-147.8028,21.52,75,75,0.0,US,1707706515
175,klaksvik,62.2266,-6.589,41.92,97,100,28.1,FO,1707706515
176,bakal,54.9417,58.8083,-5.44,99,98,3.94,RU,1707706515
177,lautoka,-17.6167,177.4667,84.06,84,75,17.27,FJ,1707706515
178,hamilton,39.1834,-84.5333,40.89,74,0,9.22,US,1707706486
179,vodnyy,63.5046,53.4095,-12.59,100,98,3.51,RU,1707706516
180,enewetak,11.3474,162.3373,79.84,76,100,21.43,MH,1707706516
181,dzuunmod,48.2199,97.3744,26.28,68,83,30.8,MN,1707706516
182,gaigeturi,33.4644,126.3183,51.85,40,0,3.44,KR,1707706516
183,kiruna,67.8557,20.2251,5.92,85,40,4.61,SE,1707706517
184,gulu,2.7746,32.299,71.89,66,91,5.21,UG,1707706517
185,bamboo flat,11.7,92.7167,84.29,79,20,9.22,IN,1707706517
186,whangarei,-35.7317,174.3239,75.13,48,31,7.9,NZ,1707706517
187,ridgecrest,35.6225,-117.6709,45.43,55,6,1.01,US,1707706378
188,lompoc,34.6391,-120.4579,54.79,81,0,7.0,US,1707706517
189,klyuchi,52.2667,79.1667,4.21,85,100,16.42,RU,1707706517
190,jamestown,42.097,-79.2353,33.39,88,100,3.0,US,1707706370
191,puerto aysen,-45.4,-72.7,44.55,90,61,5.48,CL,1707706518
192,severinia,-20.8094,-48.8028,72.28,77,5,11.01,BR,1707706518
193,hithadhoo,-0.6,73.0833,80.74,77,69,4.05,MV,1707706519
194,tazacorte,28.629,-17.9293,67.17,83,100,6.91,ES,1707706519
195,vallenar,-28.5708,-70.7581,72.59,55,0,2.77,CL,1707706519
